timestamp,pitch,yaw,roll,accel_x,accel_y,accel_z
4968150,-1.1,-64.1,2.8,0.03,-0.43,1.52
4968200,-2.0,-64.9,3.7,-0.00,0.36,1.95
4968250,-2.0,-64.9,3.7,0.16,0.47,1.44
4968300,-2.8,-66.5,4.8,0.41,0.19,0.47
4968350,-2.8,-66.5,4.8,0.96,0.12,0.21
4968400,-4.0,-68.3,6.3,-0.11,0.38,0.51
4968450,-4.0,-68.3,6.3,-0.27,0.68,0.53
4968500,-5.6,-69.7,7.0,-0.46,0.93,-0.33
4968550,-5.6,-69.7,7.0,-0.24,-0.54,-0.48
4968600,-6.8,-71.2,7.1,-0.04,0.58,-1.14
4968650,-6.8,-71.2,7.1,0.24,-0.28,-1.17
4968700,-5.7,-72.0,8.5,0.13,0.23,-2.35
4968750,-5.7,-72.0,8.5,-0.20,0.09,-0.34
4968800,-5.8,-72.2,8.8,-0.08,-0.45,-0.52
4968850,-5.8,-72.2,8.8,-0.27,-0.11,-0.72
4968900,-5.6,-72.3,9.0,-0.39,-0.84,-0.21
4968950,-5.6,-72.3,9.0,-0.30,-0.59,-0.05
4969000,-6.3,-72.8,9.0,-0.43,-0.04,-0.08
4969051,-6.3,-72.8,9.0,-0.41,-0.31,-0.96
4969101,-6.7,-73.5,8.8,-0.15,-0.32,-0.84
4969151,-6.7,-73.5,8.8,-0.13,-0.27,-0.36
4969201,-6.7,-73.8,9.4,-0.14,-0.39,-0.04
4969251,-6.7,-73.8,9.4,-0.27,0.21,-0.18
4969301,-7.2,-73.5,9.8,-0.31,-0.29,-0.02
4969351,-7.2,-73.5,9.8,-0.13,-0.48,-0.15
4969401,-7.7,-73.8,9.8,-0.16,0.07,-0.18
4969451,-7.7,-73.8,9.8,-0.03,-0.06,-0.21
4969501,-7.9,-73.7,10.4,0.14,-0.21,-0.58
4969551,-7.9,-73.7,10.4,0.08,-0.11,-0.40
4969601,-8.0,-73.7,10.9,0.04,-0.59,-0.00
4969651,-8.0,-73.7,10.9,-0.19,-0.07,-0.11
4969701,-8.4,-73.7,11.2,-0.07,0.02,-0.24
4969751,-8.4,-73.7,11.2,-0.14,-0.19,-0.31
4969801,-8.7,-73.6,11.2,-0.11,-0.07,-0.07
4969851,-8.7,-73.6,11.2,-0.18,0.00,-0.21
4969901,-9.1,-73.4,11.4,-0.08,-0.20,0.10
4969951,-9.1,-73.4,11.4,0.02,-0.06,-0.15
4970001,-9.3,-73.4,11.3,0.24,-0.05,-0.07
